timestamp(ms),var,
"1718468353.274","661",
"1718468353.275","667",
"1718468353.276","1678",
"1718468353.277","2866",
"1718468353.278","2294",
"1718468353.279","3278",
"1718468353.28","3283",
"1718468353.281","2448",
"1718468353.282","3005",
"1718468353.283","1214",
"1718468353.284","1776",
"1718468353.285","619",
"1718468353.286","720",
"1718468353.287","1301",
"1718468353.288","863",
"1718468353.289","2606",
"1718468353.29","1997",
"1718468353.291","3330",
"1718468353.292","3098",
"1718468353.293","3178",
"1718468353.294","1477",
"1718468353.295","2100",
"1718468353.296","626",
"1718468353.297","934",
"1718468353.298","1015",
"1718468353.299","715",
"1718468353.3","2303",
"1718468353.301","1659",
"1718468353.302","3289",
"1718468353.303","2883",
"1718468353.304","2992",
"1718468353.305","3271",
"1718468353.306","1762",
"1718468353.307","715",
"1718468353.308","1184",
"1718468353.309","798",
"1718468353.31","670",
"1718468353.311","1955",
"1718468353.312","1329",
"1718468353.313","3106",
"1718468353.314","2619",
"1718468353.315","3245",
"1718468353.316","3312",
"1718468353.317","2149",
"1718468353.318","2704",
"1718468353.319","933",
"1718468353.32","656",
"1718468353.321","654",
"1718468353.322","1613",
"1718468353.323","1087",
"1718468353.324","2909",
"1718468353.325","2315",
"1718468353.326","3328",
"1718468353.327","3242",
"1718468353.328","2489",
"1718468353.329","2960",
"1718468353.33","1200",
"1718468353.331","1771",
"1718468353.332","653",
"1718468353.333","709",
"1718468353.334","818",
"1718468353.335","2585",
"1718468353.336","1983",
"1718468353.337","3297",
"1718468353.338","3136",
"1718468353.339","2734",
"1718468353.34","3221",
"1718468353.341","1449",
"1718468353.342","2151",
"1718468353.343","641",
"1718468353.344","934",
"1718468353.345","1087",
"1718468353.346","656",
"1718468353.347","2321",
"1718468353.348","1615",
"1718468353.349","2855",
"1718468353.35","3019",
"1718468353.351","3266",
"1718468353.352","1817",
"1718468353.353","2432",
"1718468353.354","747",
"1718468353.355","1156",
"1718468353.356","819",
"1718468353.357","640",
"1718468353.358","1937",
"1718468353.359","1357",
"1718468353.36","3069",
"1718468353.361","2626",
"1718468353.362","3168",
"1718468353.363","3364",
"1718468353.364","2758",
"1718468353.365","926",
"1718468353.366","1470",
"1718468353.367","691",
"1718468353.368","624",
"1718468353.369","1659",
"1718468353.37","1017",
"1718468353.371","2913",
"1718468353.372","2289",
"1718468353.373","3341",
"1718468353.374","3231",
"1718468353.375","2464",
"1718468353.376","2968",
"1718468353.377","1198",
"1718468353.378","656",
"1718468353.379","711",
"1718468353.38","1355",
"1718468353.381","811",
"1718468353.382","2641",
"1718468353.383","1941",
"1718468353.384","3361",
"1718468353.385","3083",
"1718468353.386","2766",
"1718468353.387","3174",
"1718468353.388","1460",
"1718468353.389","2121",
"1718468353.39","642",
"1718468353.391","1047",
"1718468353.392","686",
"1718468353.393","2335",
"1718468353.394","1621",
"1718468353.395","3309",
"1718468353.396","2839",
"1718468353.397","3018",
"1718468353.398","3264",
"1718468353.399","1778",
"1718468353.4","2436",
"1718468353.401","739",
"1718468353.402","1181",
"1718468353.403","791",
"1718468353.404","1937",
"1718468353.405","1343",
"1718468353.406","3063",
"1718468353.407","2640",
"1718468353.408","3198",
"1718468353.409","3353",
"1718468353.41","2160",
"1718468353.411","2716",
"1718468353.412","950",
"1718468353.413","1428",
"1718468353.414","659",
"1718468353.415","641",
"1718468353.416","1619",
"1718468353.417","1079",
"1718468353.418","2887",
"1718468353.419","3344",
"1718468353.42","3229",
"1718468353.421","2477",
"1718468353.422","2960",
"1718468353.423","1190",
"1718468353.424","1776",
"1718468353.425","640",
"1718468353.426","732",
"1718468353.427","1323",
"1718468353.428","811",
"1718468353.429","2623",
"1718468353.43","1959",
